Album_url,AoTY,A.V.,AMG,CoS,DIY,DiS,OMH,NME,NoRip,Paste,P4K,PM,PMA,RS,Spin,405,TLOBF,Skinny,TMT,Radar,Artist,Profile_url,Album,ReleaseDate,Label,Genre,Cover,SD
http://albumoftheyear.org/album/27039-courtney-barnett-sometimes-i-sit-and-think-and-sometimes-i-just-sit.php,86,91,90,75,100,80,70,80,80,90,86,90,91,90,90,85,90,80,70,65,Courtney Barnett,http://albumoftheyear.org/artist/4800-courtney-barnett/,Sometimes I Sit and Think and Sometimes I Just Sit,2015-03-24,Mom + Pop,Indie Rock,http://cdn.albumoftheyear.org/album/2014/27039-sometimes-i-sit-and-think-and-sometimes-i-just-sit.jpg,7.81361834100869
http://albumoftheyear.org/album/24683-dan-deacon-gliss-riffer.php,75,75,80,91,80,70,80,70,,,72,70,75,60,80,70,75,,60,80,Dan Deacon,http://albumoftheyear.org/artist/75-dan-deacon/,Gliss Riffer,2015-02-24,Domino,Indietronica,http://cdn.albumoftheyear.org/album/2015/24683-gliss-riffer.jpg,7.73277656041692
http://albumoftheyear.org/album/26037-death-cab-for-cutie-kintsugi.php,65,83,70,43,80,70,,,60,70,55,30,58,70,60,70,85,60,,55,Death Cab For Cutie,http://albumoftheyear.org/artist/78-death-cab-for-cutie/,Kintsugi,2015-03-31,Atlantic,Indie Rock,http://cdn.albumoftheyear.org/album/2015/26037-kintsugi.jpg,14.1408097363623
http://albumoftheyear.org/album/39173-deerhunter-fading-frontier.php,82,91,80,83,80,80,70,100,,88,84,60,75,70,90,80,70,80,70,90,Deerhunter,http://albumoftheyear.org/artist/79-deerhunter/,Fading Frontier,2015-10-16,4AD,Indie Rock,http://cdn.albumoftheyear.org/album/2015/39173-fading-frontier.jpg,9.5062758767959
http://albumoftheyear.org/album/30714-desaparecidos-payola.php,74,75,80,83,80,80,,70,70,88,76,70,,,80,,75,60,,55,Desaparecidos,http://albumoftheyear.org/artist/5133-desaparecidos/,Payola,2015-06-23,Epitaph,Indie Rock,http://cdn.albumoftheyear.org/album/2015/30714-payola.jpg,6.94127644466914
http://albumoftheyear.org/album/33501-destroyer-poison-season.php,83,91,90,75,80,90,80,80,80,,76,,100,70,80,,90,100,80,65,Destroyer,http://albumoftheyear.org/artist/83-destroyer/,Poison Season,2015-08-28,Merge Dead Oceans,Chamber Pop,http://cdn.albumoftheyear.org/album/2015/33501-poison-season.jpg,8.59045012402338
http://albumoftheyear.org/album/34437-disclosure-caracal.php,68,91,80,67,60,40,80,80,,,66,70,75,70,70,60,,,,,Disclosure,http://albumoftheyear.org/artist/1906-disclosure/,Caracal,2015-09-25,PMR Island.,House,http://cdn.albumoftheyear.org/album/2015/34437-caracal.jpg,12.071444827351
http://albumoftheyear.org/album/28001-django-django-born-under-saturn.php,73,,80,,80,80,80,70,,82,56,50,58,,,,70,100,,80,Django Django,http://albumoftheyear.org/artist/2240-django-django/,Born Under Saturn,2015-05-05,Ribbon Because,Indietronica,http://cdn.albumoftheyear.org/album/2015/28001-born-under-saturn.jpg,13.7055065244196
http://albumoftheyear.org/album/38228-dr-dre-compton.php,80,83,80,83,,,,70,,68,88,70,75,80,70,80,60,100,60,,Dr. Dre,http://albumoftheyear.org/artist/2716-dr-dre/,Compton: A Soundtrack by Dr. Dre,2015-08-07,Aftermath Interscope,Hip Hop,http://cdn.albumoftheyear.org/album/2015/38228-compton-the-soundtrack.jpg,10.5685967893206
http://albumoftheyear.org/album/32649-ducktails-st-catherine.php,70,,80,67,80,80,,60,,,67,60,67,60,70,75,70,,80,75,Ducktails,http://albumoftheyear.org/artist/832-ducktails/,St. Catherine,2015-07-24,Domino,Indie Pop,http://cdn.albumoftheyear.org/album/2015/32649-st-catherine.jpg,7.59265116071795
http://albumoftheyear.org/album/29520-earl-sweatshirt-i-dont-like-shit-i-dont-go-outside.php,77,83,80,75,,,,60,,,80,80,83,70,80,80,70,,,,Earl Sweatshirt,http://albumoftheyear.org/artist/1465-earl-sweatshirt/,I Don't Like Shit I Don't Go Outside,2015-03-23,Tan Cressida,Hip Hop,http://cdn.albumoftheyear.org/album/2015/29520-i-dont-like-shit-i-dont-go-outside.jpg,6.77562476153239
http://albumoftheyear.org/album/38426-el-vy-return-to-the-moon.php,73,100,70,58,80,80,70,80,,,48,50,,70,,70,80,80,,85,EL VY,http://albumoftheyear.org/artist/16403-el-vy/,Return to the Moon,2015-10-30,4AD,Indie Rock,http://cdn.albumoftheyear.org/album/2015/38426-return-to-the-moon.jpg,13.5218585756788
http://albumoftheyear.org/album/27654-faith-no-more-sol-invictus.php,70,83,80,75,,70,70,80,,83,60,70,,70,40,,65,100,60,,Faith No More,http://albumoftheyear.org/artist/1150-faith-no-more/,Sol Invictus,2015-05-19,Reclamation / Ipecac,Alternative Metal,http://cdn.albumoftheyear.org/album/2015/27654-sol-invictus.jpg,13.4773178057837
http://albumoftheyear.org/album/22669-father-john-misty-i-love-you-honeybear.php,88,91,90,91,80,90,90,90,90,82,88,70,83,80,90,80,95,80,,80,Father John Misty,http://albumoftheyear.org/artist/2236-father-john-misty/,I Love You Honeybear,2015-02-10,Bella Union / Sub Pop,Singer-Songwriter,http://cdn.albumoftheyear.org/album/2015/22669-i-love-you-honeybear.jpg,6.23085302440723
http://albumoftheyear.org/album/30388-ffs-ffs.php,75,83,80,75,60,80,80,70,,,71,80,,70,,,70,80,,75,FFS,http://albumoftheyear.org/artist/12295-ffs/,FFS,2015-06-08,Domino,Art Rock,http://cdn.albumoftheyear.org/album/2015/30388-ffs.jpg,6.48667272774903
http://albumoftheyear.org/album/34129-fidlar-too.php,72,75,60,83,100,60,,80,,65,58,,,,70,50,65,,,,FIDLAR,http://albumoftheyear.org/artist/2608-fidlar/,Too,2015-09-04,Wichita Mom + Pop,Punk Rock,http://cdn.albumoftheyear.org/album/2015/34129-too.jpg,13.45587626506
http://albumoftheyear.org/album/27778-florence-and-the-machine-how-big-how-blue-how-beautiful.php,78,,60,83,80,70,80,80,90,80,76,70,83,70,70,80,85,,,75,Florence + The Machine,http://albumoftheyear.org/artist/528-florence-and-the-machine/,How Big How Blue How Beautiful,2015-06-02,Island / Republic,Art Pop,http://cdn.albumoftheyear.org/album/2015/27778-how-big-how-blue-how-beautiful.jpg,7.46742927653152
http://albumoftheyear.org/album/34604-foals-what-went-down.php,75,,80,58,100,80,90,70,,,67,50,83,80,,80,80,80,,65,Foals,http://albumoftheyear.org/artist/119-foals/,What Went Down,2015-08-28,Warner,Indie Rock,http://cdn.albumoftheyear.org/album/2015/34604-what-went-down.jpg,12.4937346935737
http://albumoftheyear.org/album/36604-future-ds2.php,81,,80,83,,,,,,,84,80,83,70,80,80,90,,90,,Future,http://albumoftheyear.org/artist/2389-future/,DS2,2015-07-17,Freebandz Epic,Hip Hop,http://cdn.albumoftheyear.org/album/2015/36604-ds2.jpg,5.43055329509886
http://albumoftheyear.org/album/31441-giorgio-moroder-deja-vu.php,52,67,60,33,,,60,,,,25,60,,60,60,35,50,,,65,Giorgio Moroder,http://albumoftheyear.org/artist/3369-giorgio-moroder/,Déjà Vu,2015-06-16,NA,Electropop,http://cdn.albumoftheyear.org/album/2015/31441-deja-vu.jpg,13.852469422125
http://albumoftheyear.org/album/36743-girl-band-holding-hands-with-jamie.php,79,,60,75,60,80,60,80,80,94,78,80,,70,80,85,85,80,80,75,Girl Band,http://albumoftheyear.org/artist/7565-girl-band/,Holding Hands with Jamie,2015-09-25,Rough Trade,Post-Punk,http://cdn.albumoftheyear.org/album/2015/36743-holding-hands-with-jamie.jpg,9.36906674993331
http://albumoftheyear.org/album/29181-girlpool-before-the-world-was-big.php,77,,80,75,80,80,70,80,,78,78,70,,70,70,75,90,80,,70,Girlpool,http://albumoftheyear.org/artist/9391-girlpool/,Before The World Was Big,2015-06-02,Wichita,Indie Pop,http://cdn.albumoftheyear.org/album/2015/29181-before-the-world-was-big.jpg,5.47548649719387
http://albumoftheyear.org/album/28445-godspeed-you-black-emperor-asunder-sweet-and-other-distress.php,81,91,70,75,,90,90,80,80,93,76,90,,,80,,60,80,60,80,Godspeed You! Black Emperor,http://albumoftheyear.org/artist/598-godspeed-you-black-emperor/,Asunder Sweet and Other Distress,2015-03-31,Constellation,Post-Rock,http://cdn.albumoftheyear.org/album/2015/28445-asunder-sweet-and-other-distress.jpg,10.457168878448
http://albumoftheyear.org/album/43091-grimes-art-angels.php,85,91,,91,100,80,80,80,,,85,90,100,70,80,85,60,,80,80,Grimes,http://albumoftheyear.org/artist/1463-grimes/,Art Angels,2015-11-06,4AD,Art Pop,http://cdn.albumoftheyear.org/album/43091-art-angels.jpg,10.3523634292575
http://albumoftheyear.org/album/32042-health-death-magic.php,76,91,70,50,80,70,,80,70,,78,70,33,,,,90,60,60,75,HEALTH,http://albumoftheyear.org/artist/607-health/,Death Magic,2015-08-07,Loma Vista,Synthpunk,http://cdn.albumoftheyear.org/album/2015/32042-death-magic.jpg,15.4663761498546
http://albumoftheyear.org/album/29185-holly-herndon-platform.php,80,,80,75,,80,90,80,70,86,87,60,,70,70,75,85,80,70,,Holly Herndon,http://albumoftheyear.org/artist/2685-holly-herndon/,Platform,2015-05-19,RVNG Intl. 4AD,Art Pop,http://cdn.albumoftheyear.org/album/2015/29185-platform.jpg,7.95717705387197
http://albumoftheyear.org/album/27646-hot-chip-why-make-sense.php,76,83,80,75,80,70,80,80,,85,73,70,58,70,70,80,85,,,75,Hot Chip,http://albumoftheyear.org/artist/150-hot-chip/,Why Make Sense?,2015-05-18,Domino,Synthpop,http://cdn.albumoftheyear.org/album/2015/27646-why-make-sense.jpg,7.15978351628036
http://albumoftheyear.org/album/29184-hudson-mohawke-lantern.php,71,,70,75,80,,,,70,,74,70,75,60,70,,75,80,20,,Hudson Mohawke,http://albumoftheyear.org/artist/1020-hudson-mohawke/,Lantern,2015-06-16,Warp,Wonky,http://cdn.albumoftheyear.org/album/2015/29184-lantern.jpg,15.4413696748668
http://albumoftheyear.org/album/30078-jamie-xx-in-colour.php,84,75,80,100,80,90,80,90,90,,93,80,91,80,90,60,90,,,85,Jamie xx,http://albumoftheyear.org/artist/1813-jamie-xx/,In Colour,2015-06-01,Young Turks,UK Bass,http://cdn.albumoftheyear.org/album/2015/30078-in-colour.jpg,9.3021054964275
http://albumoftheyear.org/album/31372-jason-isbell-something-more-than-free.php,79,91,80,83,,,,,,86,58,80,,80,70,,80,,,75,Jason Isbell,http://albumoftheyear.org/artist/641-jason-isbell/,Something More Than Free,2015-07-17,Southeastern,Singer-Songwriter,http://cdn.albumoftheyear.org/album/2015/31372-something-more-than-free.jpg,9.03142661303665
http://albumoftheyear.org/album/28495-jenny-hval-apocalypse-girl.php,80,,80,75,,70,80,70,,,79,80,,70,80,90,90,80,80,80,Jenny Hval,http://albumoftheyear.org/artist/2047-jenny-hval/,Apocalypse girl,2015-06-09,Sacred Bones,Art Pop,http://cdn.albumoftheyear.org/album/2015/28495-apocalypse-girl.jpg,6.24939557516925
http://albumoftheyear.org/album/27655-joanna-gruesome-peanut-butter.php,75,75,80,58,80,90,60,80,60,80,72,70,,70,70,,80,80,,70,Joanna Gruesome,http://albumoftheyear.org/artist/4460-joanna-gruesome/,Peanut Butter,2015-05-11,Slumberland / Fortuna Pop! / Turnstile,Indie Pop,http://cdn.albumoftheyear.org/album/2015/27655-peanut-butter.jpg,8.84307638777366
http://albumoftheyear.org/album/38822-joanna-newsom-divers.php,87,83,80,83,80,100,90,80,90,91,85,80,83,80,80,90,95,100,90,85,Joanna Newsom,http://albumoftheyear.org/artist/496-joanna-newsom/,Divers,2015-10-23,Drag City,Singer-Songwriter,http://cdn.albumoftheyear.org/album/2015/38822-divers.jpg,6.65876724976551
http://albumoftheyear.org/album/25231-joey-badass-b4dass.php,69,75,70,83,80,,,60,,62,70,80,75,60,50,,,,,,Joey Bada$$,http://albumoftheyear.org/artist/2431-joey-badass/,B4.DA.$$,2015-01-20,Cinematic Pro Era‚ Relentless RED,Hip Hop,http://cdn.albumoftheyear.org/album/2014/25231-b4dass.jpg,9.91326017376359
http://albumoftheyear.org/album/22348-jose-gonzalez-vestiges-claws.php,71,83,90,75,60,80,60,80,50,77,66,70,,60,70,60,,,,60,José González,http://albumoftheyear.org/artist/4393-jose-gonzalez/,Vestiges & Claws,2015-02-17,Mute,Singer-Songwriter,http://cdn.albumoftheyear.org/album/2015/22348-vestiges-claws.jpg,10.888176199547
http://albumoftheyear.org/album/36433-julia-holter-have-you-in-my-wilderness.php,88,,90,83,80,80,100,80,,,84,,83,70,,85,85,100,90,90,Julia Holter,http://albumoftheyear.org/artist/2096-julia-holter/,Have You in My Wilderness,2015-09-25,Domino,Art Pop,http://cdn.albumoftheyear.org/album/2015/36433-have-you-in-my-wilderness.jpg,7.91021039994693
http://albumoftheyear.org/album/42470-justin-bieber-purpose.php,63,50,60,33,,,,60,,,62,,58,,70,75,,,50,,Justin Bieber,http://albumoftheyear.org/artist/2438-justin-bieber/,Purpose,2015-11-13,Def Jam,R&B,http://cdn.albumoftheyear.org/album/2015/42470-purpose.jpg,11.7137146589419
http://albumoftheyear.org/album/33025-kacey-musgraves-pageant-material.php,79,83,80,50,,,,,60,94,80,90,83,70,90,,,,,,Kacey Musgraves,http://albumoftheyear.org/artist/3777-kacey-musgraves/,Pageant Material,2015-06-23,Mercury Nashville,Country,http://cdn.albumoftheyear.org/album/2015/33025-pageant-material.jpg,13.322571414367
http://albumoftheyear.org/album/29250-kendrick-lamar-to-pimp-a-butterfly.php,94,91,90,100,80,100,90,80,100,,93,90,100,90,100,100,90,,100,90,Kendrick Lamar,http://albumoftheyear.org/artist/1881-kendrick-lamar/,To Pimp a Butterfly,2015-03-16,Aftermath / Interscope,Hip Hop,http://cdn.albumoftheyear.org/album/2015/29250-to-pimp-a-butterfly.jpg,6.74591379586016
http://albumoftheyear.org/album/37105-kurt-vile-blieve-im-goin-down.php,80,91,80,83,80,70,80,,70,78,84,80,83,70,80,85,,80,60,80,Kurt Vile,http://albumoftheyear.org/artist/1061-kurt-vile/,b'lieve i'm goin down,2015-09-25,Matador,Singer-Songwriter,http://cdn.albumoftheyear.org/album/2015/37105-blieve-im-goin-down.jpg,7.26393184730921
http://albumoftheyear.org/album/39167-lana-del-rey-honeymoon.php,75,,70,67,80,90,70,80,,,75,80,58,80,70,,85,,70,60,Lana Del Rey,http://albumoftheyear.org/artist/1969-lana-del-rey/,Honeymoon,2015-09-18,Interscope Polydor,Art Pop,http://cdn.albumoftheyear.org/album/2015/39167-honeymoon.jpg,8.21817872393035
http://albumoftheyear.org/album/25058-laura-marling-short-movie.php,81,75,70,75,80,80,80,80,80,89,74,90,83,70,80,,80,,,,Laura Marling,http://albumoftheyear.org/artist/196-laura-marling/,Short Movie,2015-03-23,Virgin EMI,Singer-Songwriter,http://cdn.albumoftheyear.org/album/2015/25058-short-movie.jpg,5.57636380926974
http://albumoftheyear.org/album/35390-low-ones-and-sixes.php,77,75,60,67,60,80,90,70,,81,78,70,,70,80,,75,80,80,75,Low,http://albumoftheyear.org/artist/664-low/,Ones and Sixes,2015-09-11,Sub Pop,Slowcore,http://cdn.albumoftheyear.org/album/2015/35390-ones-and-sixes.jpg,7.99973957909464
http://albumoftheyear.org/album/27029-lower-dens-escape-from-evil.php,75,,80,67,60,70,60,,80,65,83,80,75,70,,,85,,70,70,Lower Dens,http://albumoftheyear.org/artist/1434-lower-dens/,Escape From Evil,2015-03-31,Ribbon Music,Indie Rock,http://cdn.albumoftheyear.org/album/2015/27029-escape-from-evil.jpg,8.15104658553492
http://albumoftheyear.org/album/25218-madonna-rebel-heart.php,63,67,80,50,,70,70,50,,76,51,60,58,70,60,,65,,,,Madonna,http://albumoftheyear.org/artist/2269-madonna/,Rebel Heart,2015-03-10,Interscope,Electropop,http://cdn.albumoftheyear.org/album/2015/25218-rebel-heart.jpg,9.38668685479015
http://albumoftheyear.org/album/38980-majical-cloudz-are-you-alone.php,79,,90,83,80,80,,,80,,80,,67,70,80,90,80,60,,80,Majical Cloudz,http://albumoftheyear.org/artist/3638-majical-cloudz/,Are You Alone?,2015-10-16,Matador,NA,http://cdn.albumoftheyear.org/album/2015/38980-are-you-alone.jpg,8.39184585911091
http://albumoftheyear.org/album/29921-major-lazer-peace-is-the-mission.php,66,,80,,80,,,60,,,74,70,43,70,50,,,60,,60,Major Lazer,http://albumoftheyear.org/artist/698-major-lazer/,Peace Is the Mission,2015-06-01,Because / Mad Decent,Dancehall,http://cdn.albumoftheyear.org/album/2015/29921-peace-is-the-mission.jpg,12.2024587686253
http://albumoftheyear.org/album/23775-mark-ronson-uptown-special.php,70,91,70,58,80,80,70,70,40,88,60,50,67,70,60,,,,,70,Mark Ronson,http://albumoftheyear.org/artist/6019-mark-ronson/,Uptown Special,2015-01-13,Columbia,Funk,http://cdn.albumoftheyear.org/album/2015/23775-uptown-special.jpg,13.5565833594218
http://albumoftheyear.org/album/28053-metz-metz-ii.php,79,75,80,75,100,80,,80,70,,67,80,,70,80,80,85,80,,,Metz,http://albumoftheyear.org/artist/2607-metz/,II,2015-05-05,Sub Pop,Noise Rock,http://cdn.albumoftheyear.org/album/2015/28053-metz-ii.jpg,7.65755151716887
http://albumoftheyear.org/album/33410-miguel-wildheart.php,81,75,80,75,,,80,80,50,81,89,60,83,80,80,75,85,,,,Miguel,http://albumoftheyear.org/artist/2597-miguel/,Wildheart,2015-06-30,ByStorm RCA,Alternative R&B,http://cdn.albumoftheyear.org/album/2015/33410-wildheart.jpg,9.82319897463337
http://albumoftheyear.org/album/26754-mikal-cronin-mciii.php,72,75,80,75,,,70,80,,80,61,80,75,,60,80,80,,,70,Mikal Cronin,http://albumoftheyear.org/artist/2048-mikal-cronin/,MCIII,2015-05-05,Merge,Power Pop,http://cdn.albumoftheyear.org/album/2015/26754-mciii.jpg,7.07831647375025
http://albumoftheyear.org/album/40080-miley-cyrus-miley-cyrus-her-dead-petz.php,57,50,70,43,60,,,80,,,30,60,83,70,50,25,,,60,40,Miley Cyrus,http://albumoftheyear.org/artist/3456-miley-cyrus/,Miley Cyrus & Her Dead Petz,2015-08-30,Smiley Miley Inc.,Psychedelic Pop,http://cdn.albumoftheyear.org/album/2015/40080-miley-cyrus-her-dead-petz.jpg,17.3596939592544
http://albumoftheyear.org/album/24854-modest-mouse-strangers-to-ourselves.php,69,83,60,75,80,70,80,70,,70,64,60,75,70,50,65,70,60,50,70,Modest Mouse,http://albumoftheyear.org/artist/495-modest-mouse/,Strangers to Ourselves,2015-03-17,Epic,Indie Rock,http://cdn.albumoftheyear.org/album/2015/24854-strangers-to-ourselves.jpg,9.3823990410079
http://albumoftheyear.org/album/28773-mumford-sons-wilder-mind.php,52,50,50,67,80,40,40,80,30,69,20,30,18,70,50,65,,,,60,Mumford & Sons,http://albumoftheyear.org/artist/863-mumford-sons/,Wilder Mind,2015-05-04,Glassnote,Pop Rock,http://cdn.albumoftheyear.org/album/2015/28773-wilder-mind.jpg,19.9923943871997
http://albumoftheyear.org/album/29254-muse-drones.php,53,,70,50,,40,70,70,20,58,45,50,,80,50,,,,,20,Muse,http://albumoftheyear.org/artist/611-muse/,Drones,2015-06-08,Warner Bros. Helium-3,Alternative Rock,http://cdn.albumoftheyear.org/album/2015/29254-drones.jpg,16.3392073543883
http://albumoftheyear.org/album/28842-my-morning-jacket-the-waterfall.php,75,75,60,75,60,70,70,,,,79,70,91,70,,75,80,80,,85,My Morning Jacket,http://albumoftheyear.org/artist/238-my-morning-jacket/,The Waterfall,2015-05-04,ATO,Indie Rock,http://cdn.albumoftheyear.org/album/2015/28842-the-waterfall.jpg,8.05475765489694
http://albumoftheyear.org/album/24227-natalie-prass-natalie-prass.php,84,83,70,91,,90,90,,80,84,83,70,83,70,,,90,,,90,Natalie Prass,http://albumoftheyear.org/artist/9968-natalie-prass/,Natalie Prass,2015-01-27,Spacebomb,Chamber Pop,http://cdn.albumoftheyear.org/album/2015/24227-natalie-prass.jpg,7.74431139445974
http://albumoftheyear.org/album/33145-neil-young-promise-of-the-real-the-monsanto-years.php,63,50,70,50,,,,80,,92,52,70,,60,50,,55,80,40,75,Neil Young & Promise of the Real,http://albumoftheyear.org/artist/14873-neil-young-promise-of-the-real/,The Monsanto Years,2015-06-29,Reprise,Folk Rock,http://cdn.albumoftheyear.org/album/2015/33145-the-monsanto-years.jpg,15.1196085962092
http://albumoftheyear.org/album/35446-new-order-music-complete.php,74,75,60,91,40,70,80,,,,72,70,,70,,,75,80,,80,New Order,http://albumoftheyear.org/artist/3159-new-order/,Music Complete,2015-09-25,Mute,Alternative Dance,http://cdn.albumoftheyear.org/album/2015/35446-music-complete.jpg,12.3837014097587
http://albumoftheyear.org/album/21752-noel-gallaghers-high-flying-birds-chasing-yesterday.php,66,67,80,58,60,70,60,70,,,59,50,50,70,,,70,60,,,Noel Gallagher's High Flying Birds,http://albumoftheyear.org/artist/1856-noel-gallaghers-high-flying-birds/,Chasing Yesterday,2015-03-02,Sour Mash,Alternative Rock,http://cdn.albumoftheyear.org/album/2015/21752-chasing-yesterday.jpg,8.37316488013285
http://albumoftheyear.org/album/39602-oneohtrix-point-never-garden-of-delete.php,81,,80,91,60,,,,60,,87,70,,,80,90,85,80,90,80,Oneohtrix Point Never,http://albumoftheyear.org/artist/1405-oneohtrix-point-never/,Garden of Delete,2015-11-13,Warp,Electronic,http://cdn.albumoftheyear.org/album/2015/39602-garden-of-delete.jpg,10.8418381534431
http://albumoftheyear.org/album/22161-panda-bear-panda-bear-meets-the-grim-reaper.php,81,67,90,75,80,70,80,,70,85,87,80,83,,80,85,80,80,60,85,Panda Bear,http://albumoftheyear.org/artist/468-panda-bear/,Panda Bear Meets the Grim Reaper,2015-01-13,Domino,Psychedelic Pop,http://cdn.albumoftheyear.org/album/2015/22161-panda-bear-meets-the-grim-reaper.jpg,7.74644130818639
http://albumoftheyear.org/album/27040-passion-pit-kindred.php,71,83,80,75,80,70,70,70,60,70,68,,75,50,70,,70,,,80,Passion Pit,http://albumoftheyear.org/artist/260-passion-pit/,Kindred,2015-04-21,Columbia,Synthpop,http://cdn.albumoftheyear.org/album/2015/27040-kindred.jpg,8.08172541690731
http://albumoftheyear.org/album/26071-purity-ring-another-eternity.php,68,67,80,75,60,70,50,70,,90,66,80,67,70,60,55,60,40,,65,Purity Ring,http://albumoftheyear.org/artist/2353-purity-ring/,Another Eternity,2015-03-03,4AD,Synthpop,http://cdn.albumoftheyear.org/album/2015/26071-another-eternity.jpg,11.8898127427989
