Album_url,AoTY,A.V.,AMG,CoS,DIY,DiS,OMH,NME,NoRip,Paste,P4K,PM,PMA,RS,Spin,405,TLOBF,Skinny,TMT,Radar,Artist,Profile_url,Album,ReleaseDate,Label,Genre,Artist_url,SD
http://albumoftheyear.org/album/13946-eno-hyde-someday-world.php,58,58,70,43,40,,60,60,,74,62,50,,40,,75,65,,,65,Eno • Hyde,http://albumoftheyear.org/artist/6007-eno-hyde/,Someday World,2014-05-05,Warp,Electronic,,11.8986101321509
http://albumoftheyear.org/album/14589-first-aid-kit-stay-gold.php,77,,80,67,80,70,90,80,,80,73,70,58,70,80,60,85,,,85,First Aid Kit,http://albumoftheyear.org/artist/2204-first-aid-kit/,Stay Gold,2014-06-10,Columbia,Folk,http://www.thisisfirstaidkit.com,8.90157824422699
http://albumoftheyear.org/album/16605-fka-twigs-lp1.php,86,91,80,83,80,90,80,80,80,92,88,80,100,70,90,100,90,80,60,85,FKA Twigs,http://albumoftheyear.org/artist/2910-fka-twigs/,LP1,2014-08-12,Young Turks,Art Pop,http://fkatwi.gs,9.53693957065206
http://albumoftheyear.org/album/17704-flying-lotus-youre-dead.php,84,91,90,75,80,90,90,80,,,83,90,91,80,,95,85,80,70,80,Flying Lotus,http://albumoftheyear.org/artist/118-flying-lotus/,You're Dead!,2014-10-07,Warp,Jazz Fusion,http://flying-lotus.com,6.83008052661167
http://albumoftheyear.org/album/18615-foo-fighters-sonic-highways.php,65,67,70,43,80,50,60,70,50,70,56,70,67,70,,,55,,,,Foo Fighters,http://albumoftheyear.org/artist/889-foo-fighters/,Sonic Highways,2014-11-10,Roswell,Alternative Rock,,10.1056325642589
http://albumoftheyear.org/album/17865-foxygen-and-star-power.php,65,75,50,67,80,50,,50,,88,70,50,50,50,,80,,,,70,Foxygen,http://albumoftheyear.org/artist/2385-foxygen/,...And Star Power,2014-10-14,Jagjaguwar,Psychedelic Pop,,14.222138755097
http://albumoftheyear.org/album/14394-fucked-up-glass-boys.php,77,91,90,83,80,80,80,70,80,74,70,80,58,60,70,,80,80,70,70,Fucked Up,http://albumoftheyear.org/artist/125-fucked-up/,Glass Boys,2014-06-03,Matador,Hardcore Punk,http://fuckedup.cc,8.77701245939746
http://albumoftheyear.org/album/12725-future-islands-singles.php,81,,90,75,80,80,90,80,,79,80,60,83,70,80,90,90,80,70,,Future Islands,http://albumoftheyear.org/artist/1482-future-islands/,Singles,2014-03-25,4AD,Synthpop,http://future-islands.com,8.04582463875811
http://albumoftheyear.org/album/13935-hamilton-leithauser-black-hours.php,73,83,,50,80,70,80,60,70,70,74,70,67,60,,,80,80,,60,Hamilton Leithauser,http://albumoftheyear.org/artist/6003-hamilton-leithauser/,Black Hours,2014-06-03,Ribbon Music,Chamber Pop,http://hamiltonleithauser.com,9.1952368622228
http://albumoftheyear.org/album/11962-hospitality-trouble.php,70,,80,67,,80,60,80,60,75,75,70,,70,,,65,40,,65,Hospitality,http://albumoftheyear.org/artist/2232-hospitality/,Trouble,2014-01-28,Merge,Indie Pop,,11.0267739429873
http://albumoftheyear.org/album/14685-how-to-dress-well-what-is-this-heart.php,74,58,80,75,80,70,70,50,,85,88,40,91,60,70,65,70,,50,80,How to Dress Well,http://albumoftheyear.org/artist/1344-how-to-dress-well/,What Is This Heart?,2014-06-24,Weird World,R&B,http://howtodresswell.com,14.1166359932069
http://albumoftheyear.org/album/16543-interpol-el-pintor.php,74,91,70,75,80,90,90,80,60,65,59,80,75,70,,,85,80,50,60,Interpol,http://albumoftheyear.org/artist/545-interpol/,El Pintor,2014-09-09,Matador,Indie Rock,http://www.interpolnyc.com,11.6268578528084
http://albumoftheyear.org/album/14614-jack-white-lazaretto.php,74,91,80,67,80,80,80,70,70,85,71,70,75,80,60,75,80,,10,75,Jack White,http://albumoftheyear.org/artist/2228-jack-white/,Lazaretto,2014-06-10,Third Man,Singer-Songwriter,http://jackwhiteiii.com,17.0841821883797
http://albumoftheyear.org/album/16140-jenny-lewis-the-voyager.php,75,75,90,75,,80,60,50,60,76,72,,,70,90,85,80,,70,80,Jenny Lewis,http://albumoftheyear.org/artist/171-jenny-lewis/,The Voyager,2014-07-29,Warner Bros.,Pop Rock,http://jennylewis.com,11.0703378879048
http://albumoftheyear.org/album/18125-jessie-ware-tough-love.php,72,91,60,50,80,80,80,70,60,74,73,80,58,70,,80,90,,,55,Jessie Ware,http://albumoftheyear.org/artist/2421-jessie-ware/,Tough Love,2014-10-13,PMR / Island,R&B,,11.4600756251141
http://albumoftheyear.org/album/16986-karen-o-crush-songs.php,62,58,70,50,80,60,80,70,30,70,58,,58,70,,80,50,,,55,Karen O,http://albumoftheyear.org/artist/7286-karen-o/,Crush Songs,2014-09-09,Cult,Singer-Songwriter,,13.5618512572513
http://albumoftheyear.org/album/11903-katy-b-little-red.php,73,,,75,80,70,80,70,60,,78,60,50,80,70,80,85,40,,,Katy B,http://albumoftheyear.org/artist/1590-katy-b/,Little Red,2014-02-10,Sony/Columbia,Dance Pop,,12.6008314162579
http://albumoftheyear.org/album/12018-kelis-food.php,74,,90,75,80,90,90,70,,69,63,,83,60,80,80,80,,30,,Kelis,http://albumoftheyear.org/artist/1263-kelis/,Food,2014-04-22,Ninja Tune,Neo-Soul,http://www.iamkelis.com,15.3225635055285
http://albumoftheyear.org/album/16018-la-roux-trouble-in-paradise.php,74,,70,67,80,60,80,90,70,,65,60,75,70,80,70,80,,,70,La Roux,http://albumoftheyear.org/artist/699-la-roux/,Trouble in Paradise,2014-07-21,Polydor,Synthpop,,8.29342826465343
http://albumoftheyear.org/album/15950-lana-del-rey-ultraviolence.php,71,43,80,100,80,70,70,60,70,,71,80,91,70,80,30,,,,50,Lana Del Rey,http://albumoftheyear.org/artist/1969-lana-del-rey/,Ultraviolence,2014-06-17,Polydor / Interscope,Dream Pop,http://www.lanadelrey.com,17.2273315513736
http://albumoftheyear.org/album/12819-liars-mess.php,76,75,80,50,80,80,100,80,90,60,69,70,83,70,80,75,85,80,50,85,Liars,http://albumoftheyear.org/artist/505-liars/,Mess,2014-03-25,Mute,Experimental Rock,http://www.liarsliarsliars.com,12.2986710640427
http://albumoftheyear.org/album/14008-lykke-li-i-never-learn.php,76,,80,91,80,60,90,60,70,78,84,70,43,70,60,90,,80,,70,Lykke Li,http://albumoftheyear.org/artist/209-lykke-li/,I Never Learn,2014-05-05,Atlantic,Singer-Songwriter,http://lykkeli.com,13.23064624272
http://albumoftheyear.org/album/13033-mac-demarco-salad-days.php,82,91,90,67,80,,90,90,80,70,85,70,83,70,80,,80,,,85,Mac DeMarco,http://albumoftheyear.org/artist/2620-mac-demarco/,Salad Days,2014-04-01,Captured Tracks,Singer-Songwriter,http://macdemarco.bandcamp.com,8.12286602012814
http://albumoftheyear.org/album/11094-marissa-nadler-july.php,79,,80,75,,80,80,80,80,,81,80,83,,,80,85,,50,70,Marissa Nadler,http://albumoftheyear.org/artist/216-marissa-nadler/,July,2014-02-04,Sacred Bones / Bella Union,Folk,,8.68390789968758
http://albumoftheyear.org/album/16361-merchandise-after-the-end.php,73,,80,83,80,70,70,90,70,87,70,,75,60,,,65,40,,80,Merchandise,http://albumoftheyear.org/artist/2688-merchandise/,After the End,2014-08-26,4AD,Indie Rock,,12.5244815207112
http://albumoftheyear.org/album/11101-metronomy-love-letters.php,70,,80,43,80,60,80,80,,,52,60,75,60,,80,80,60,,85,Metronomy,http://albumoftheyear.org/artist/228-metronomy/,Love Letters,2014-03-10,Because Music,Indietronica,http://metronomy.co.uk,12.5558094780206
http://albumoftheyear.org/album/10727-mogwai-rave-tapes.php,73,75,70,58,80,70,90,70,80,80,60,70,,70,,80,75,100,40,40,Mogwai,http://albumoftheyear.org/artist/232-mogwai/,Rave Tapes,2014-01-21,Sub Pop Rock Action,Post-Rock,http://mogwai.co.uk,13.1101106021269
http://albumoftheyear.org/album/16056-morrissey-world-peace-is-none-of-your-business.php,63,43,70,58,60,70,70,90,,83,59,50,43,70,70,,95,,40,70,Morrissey,http://albumoftheyear.org/artist/233-morrissey/,World Peace Is None of Your Business,2014-07-15,Harvest Capitol,Alternative Rock,,16.1322658049017
http://albumoftheyear.org/album/12260-neneh-cherry-blank-project.php,82,91,90,75,80,,100,80,60,,77,80,83,70,80,80,90,100,,75,Neneh Cherry,http://albumoftheyear.org/artist/4758-neneh-cherry/,Blank Project,2014-02-25,Smalltown Supersound,Art Pop,http://nenehcherry.com,10.2558926151424
http://albumoftheyear.org/album/13445-owen-pallett-in-conflict.php,80,83,90,91,60,80,80,80,60,80,80,80,83,70,80,,85,,,75,Owen Pallett,http://albumoftheyear.org/artist/792-owen-pallett/,In Conflict,2014-05-27,Domino / Secret City,Art Pop,http://owenpalletteternal.com,8.73212459828649
http://albumoftheyear.org/album/14613-parquet-courts-sunbathing-animal.php,80,83,80,67,80,70,80,80,80,70,86,80,75,80,80,80,85,80,,80,Parquet Courts,http://albumoftheyear.org/artist/2771-parquet-courts/,Sunbathing Animal,2014-06-03,What's Your Rupture? / Mom + Pop,Indie Rock,,5.04100830250083
http://albumoftheyear.org/album/14117-perfect-pussy-say-yes-to-love.php,80,67,80,75,80,,90,80,90,85,86,60,100,80,80,75,80,,70,60,Perfect Pussy,http://albumoftheyear.org/artist/5051-perfect-pussy/,Say Yes to Love,2014-03-18,Captured Tracks,Noise Rock,,9.28629603866079
http://albumoftheyear.org/album/17453-perfume-genius-too-bright.php,86,91,80,91,80,80,90,80,80,83,85,90,91,70,,90,90,80,100,80,Perfume Genius,http://albumoftheyear.org/artist/1293-perfume-genius/,Too Bright,2014-09-23,Matador / Turnstile,Art Pop,,6.90386838611589
http://albumoftheyear.org/album/12020-phantogram-voices.php,71,75,70,67,60,70,,,50,85,60,80,75,,80,,80,,,,Phantogram,http://albumoftheyear.org/artist/1017-phantogram/,Voices,2014-02-18,Republic,Indietronica,http://phantogram.com,9.88264472024906
http://albumoftheyear.org/album/13826-pharrell-g-i-r-l.php,65,75,80,67,,50,70,80,50,,62,50,18,80,80,80,80,,10,,Pharrell,http://albumoftheyear.org/artist/5942-pharrell/,G I R L,2014-03-03,Columbia,R&B,,22.0324571182305
http://albumoftheyear.org/album/12821-real-estate-atlas.php,75,58,80,83,80,70,80,,80,88,88,40,83,70,70,60,80,40,,80,Real Estate,http://albumoftheyear.org/artist/683-real-estate/,Atlas,2014-03-04,Domino,Indie Rock,http://realestatetheband.com,14.7541120888182
http://albumoftheyear.org/album/19287-run-the-jewels-rtj2.php,86,91,90,91,80,80,90,90,,90,90,90,83,80,,,90,,50,90,Run the Jewels,http://albumoftheyear.org/artist/3975-run-the-jewels/,Run the Jewels 2,2014-10-28,Mass Appeal,Hip Hop,http://runthejewels.net,10.5252530791878
http://albumoftheyear.org/album/16904-rustie-green-language.php,67,,80,50,60,50,70,70,30,,72,60,83,60,80,,60,80,70,75,Rustie,http://albumoftheyear.org/artist/2090-rustie/,Green Language,2014-08-26,Warp,Electronic,,13.9086304142428
http://albumoftheyear.org/album/17094-ryan-adams-ryan-adams.php,74,58,80,83,60,70,80,80,,78,60,80,,70,,85,70,80,,75,Ryan Adams,http://albumoftheyear.org/artist/293-ryan-adams/,Ryan Adams,2014-09-08,Pax Am / Blue Note,Singer-Songwriter,http://paxamrecords.com,8.83876742107233
http://albumoftheyear.org/album/17720-sbtrkt-wonder-where-we-land.php,71,,70,83,80,70,60,80,70,93,55,60,75,60,,70,65,,,85,SBTRKT,http://albumoftheyear.org/artist/1540-sbtrkt/,Wonder Where We Land,2014-09-23,Young Turks,Future Garage,http://sbtrkt.com,10.2274141404365
http://albumoftheyear.org/album/11871-schoolboy-q-oxymoron.php,77,75,70,91,,,,,70,,78,80,75,80,70,85,80,,60,,Schoolboy Q,http://albumoftheyear.org/artist/2109-schoolboy-q/,Oxymoron,2014-02-25,Top Dawg / Interscope,Hip Hop,http://www.schoolboyq.com,7.7691038324233
http://albumoftheyear.org/album/17526-scott-walker-sunn-o-soused.php,82,100,80,58,80,90,80,80,80,,74,60,,70,,95,100,80,90,85,Scott Walker & Sunn O))),http://albumoftheyear.org/artist/7484-scott-walker-sunn-o/,Soused,2014-10-21,4AD,Drone Metal,,12.1831509334271
http://albumoftheyear.org/album/15766-shabazz-palaces-lese-majesty.php,82,91,90,83,60,80,90,80,,,82,70,91,70,90,80,90,60,80,,Shabazz Palaces,http://albumoftheyear.org/artist/997-shabazz-palaces/,Lese Majesty,2014-07-29,Sub Pop,Hip Hop,http://www.shabazzpalaces.com,10.1680728696422
http://albumoftheyear.org/album/6906-sharon-jones-the-dap-kings-give-the-people-what-they-want.php,78,83,,58,,,80,70,80,89,77,60,91,70,70,,85,80,80,80,Sharon Jones & the Dap-Kings,http://albumoftheyear.org/artist/815-sharon-jones-the-dap-kings/,Give the People What They Want,2014-01-14,Daptone,Funk,http://sharonjonesandthedapkings.com,9.53539771188436
http://albumoftheyear.org/album/13948-sharon-van-etten-are-we-there.php,86,91,80,91,80,90,80,80,90,95,82,80,100,80,,90,90,,,75,Sharon Van Etten,http://albumoftheyear.org/artist/1060-sharon-van-etten/,Are We There,2014-05-27,Jagjaguwar,Singer-Songwriter,http://sharonvanetten.com,6.41839803481627
http://albumoftheyear.org/album/15682-sia-1000-forms-of-fear.php,74,50,80,83,,60,90,,70,68,,80,67,80,80,60,80,,,,Sia,http://albumoftheyear.org/artist/1157-sia/,1000 Forms of Fear,2014-07-08,Monkey Puzzle RCA,Electropop,http://siamusic.net,10.9965029406206
http://albumoftheyear.org/album/13895-sohn-tremors.php,71,,80,,80,60,80,70,60,,50,80,75,70,,70,85,80,,,SOHN,http://albumoftheyear.org/artist/3454-sohn/,Tremors,2014-04-07,4AD,Downtempo,,9.93191105190019
http://albumoftheyear.org/album/16544-spoon-they-want-my-soul.php,79,83,80,83,60,80,80,70,80,80,86,70,91,80,80,,85,,80,70,Spoon,http://albumoftheyear.org/artist/481-spoon/,They Want My Soul,2014-08-05,Loma Vista,Indie Rock,http://www.spoontheband.com,7.03144199084286
http://albumoftheyear.org/album/11789-st-vincent-st-vincent.php,88,91,80,91,100,80,100,80,90,90,86,90,100,80,80,90,90,80,60,85,St. Vincent,http://albumoftheyear.org/artist/314-st-vincent/,St. Vincent,2014-02-25,Loma Vista,Indie Rock,http://ilovestvincent.com,9.44698968111471
http://albumoftheyear.org/album/11108-stephen-malkmus-and-the-jicks-wig-out-at-jagbags.php,73,75,90,67,80,80,80,70,50,75,70,70,75,80,70,70,80,80,60,70,Stephen Malkmus and the Jicks,http://albumoftheyear.org/artist/316-stephen-malkmus-and-the-jicks/,Wig Out at Jagbags,2014-01-07,Matador / Domino,Indie Rock,http://www.stephenmalkmus.com,8.72617893641939
http://albumoftheyear.org/album/12003-sun-kil-moon-benji.php,84,,60,83,,90,80,80,90,68,92,80,100,70,80,90,90,,90,55,Sun Kil Moon,http://albumoftheyear.org/artist/318-sun-kil-moon/,Benji,2014-02-11,Caldo Verde,Folk,,10.2467474514274
http://albumoftheyear.org/album/13202-swans-to-be-kind.php,88,91,80,91,80,100,100,90,80,93,92,80,91,70,90,80,100,80,90,75,Swans,http://albumoftheyear.org/artist/1339-swans/,To Be Kind,2014-05-13,Young God,Post-Rock,http://swans.pair.com,8.22633056835689
http://albumoftheyear.org/album/11241-temples-sun-structures.php,72,,80,,80,50,90,80,70,,55,60,75,60,,80,80,80,,80,Temples,http://albumoftheyear.org/artist/4913-temples/,Sun Structures,2014-02-11,Fat Possum,Psychedelic Rock,,11.7042304740214
http://albumoftheyear.org/album/14474-the-afghan-whigs-do-to-the-beast.php,72,50,60,58,,80,80,80,,83,76,80,58,60,80,70,90,80,,60,The Afghan Whigs,http://albumoftheyear.org/artist/3970-the-afghan-whigs/,Do to the Beast,2014-04-14,Sub Pop,Alternative Rock,,11.5799755325015
http://albumoftheyear.org/album/14591-the-antlers-familiars.php,80,91,80,83,80,60,80,80,80,89,78,90,75,70,,70,85,,,60,The Antlers,http://albumoftheyear.org/artist/329-the-antlers/,Familiars,2014-06-17,ANTI- / Transgressive,Dream Pop,http://antlersmusic.com,7.99973957909464
http://albumoftheyear.org/album/14415-the-black-keys-turn-blue.php,68,43,80,83,60,70,90,60,,75,58,70,83,90,60,,,,,65,The Black Keys,http://albumoftheyear.org/artist/331-the-black-keys/,Turn Blue,2014-05-13,,Blues Rock,http://www.theblackkeys.com,13.6800167084276
http://albumoftheyear.org/album/12724-the-hold-steady-teeth-dreams.php,69,91,80,25,60,,,70,50,87,64,80,58,70,70,,60,,,60,The Hold Steady,http://albumoftheyear.org/artist/348-the-hold-steady/,Teeth Dreams,2014-03-25,Washington Square,Indie Rock,http://theholdsteady.net,16.6059700637524
http://albumoftheyear.org/album/13896-the-horrors-luminous.php,81,,80,75,100,90,100,80,,,67,70,75,,,50,90,80,,85,The Horrors,http://albumoftheyear.org/artist/349-the-horrors/,Luminous,2014-05-05,XL Recordings,Post-Punk,http://thehorrors.co.uk,13.6005278932238
http://albumoftheyear.org/album/11586-the-men-tomorrows-hits.php,74,75,80,100,60,80,80,,70,83,72,70,67,60,80,,85,,40,55,The Men,http://albumoftheyear.org/artist/1872-the-men/,Tomorrow's Hits,2014-03-03,Sacred Bones,Garage Rock,http://wearethemen.blogspot.com,13.2966161108757
http://albumoftheyear.org/album/16629-the-new-pornographers-brill-bruisers.php,77,75,80,83,,70,70,80,90,82,77,60,75,70,80,75,70,80,70,75,The New Pornographers,http://albumoftheyear.org/artist/520-the-new-pornographers/,Brill Bruisers,2014-08-26,Matador,Indie Rock,,6.79580801199885
http://albumoftheyear.org/album/11970-the-notwist-close-to-the-glass.php,72,83,80,58,60,70,90,,,72,64,60,58,,70,80,85,80,60,70,The Notwist,http://albumoftheyear.org/artist/649-the-notwist/,Close To The Glass,2014-02-25,Sub Pop / City Slang,Indietronica,http://notwist.com,10.632497354808
http://albumoftheyear.org/album/13936-the-pains-of-being-pure-at-heart-days-of-abandon.php,71,50,60,67,80,70,,80,,65,75,60,75,,70,80,80,,,80,The Pains of Being Pure at Heart,http://albumoftheyear.org/artist/361-the-pains-of-being-pure-at-heart/,Days of Abandon,2014-05-13,Yebo Music,Indie Pop,http://thepainsofbeingpureatheart.com,9.13302183902392
http://albumoftheyear.org/album/14827-the-roots-and-then-you-shoot-your-cousin.php,70,67,70,58,,,,,,80,72,50,75,70,60,,70,,60,,The Roots,http://albumoftheyear.org/artist/365-the-roots/,...And Then You Shoot Your Cousin,2014-05-19,Def Jam,Hip Hop,http://theroots.com,8.32120329293932
http://albumoftheyear.org/album/20680-smashing-pumpkins-monuments-to-an-elegy.php,68,67,80,67,80,60,70,70,,79,60,70,,60,60,,,,,65,The Smashing Pumpkins,http://albumoftheyear.org/artist/891-smashing-pumpkins/,Monuments to an Elegy,2014-12-09,BMG / Martha's Music,Alternative Rock,http://www.smashingpumpkins.com,7.50128194172375
http://albumoftheyear.org/album/11625-the-war-on-drugs-lost-in-the-dream.php,87,91,90,100,80,80,100,90,80,80,88,90,83,60,90,75,100,80,,85,The War on Drugs,http://albumoftheyear.org/artist/1632-the-war-on-drugs/,Lost in the Dream,2014-03-18,Secretly Canadian,Indie Rock,http://thewarondrugs.net,9.90279553848933
http://albumoftheyear.org/album/12278-thee-silver-mt-zion-memorial-orchestra-fuck-off-get-free-we-pour-light-on-everything.php,80,,90,83,80,90,90,70,50,93,80,70,75,,,80,85,80,80,65,Thee Silver Mt. Zion Memorial Orchestra,http://albumoftheyear.org/artist/5348-thee-silver-mt-zion-memorial-orchestra/,Fuck Off Get Free We Pour Light on Everything,2014-01-21,Constellation,Post-Rock,http://www.tra-la-la-band.com,10.4147331538867
http://albumoftheyear.org/album/20921-thom-yorke-tomorrows-modern-boxes.php,71,67,,58,80,80,80,70,,82,63,70,67,80,,75,,,70,50,Thom Yorke,http://albumoftheyear.org/artist/511-thom-yorke/,Tomorrow's Modern Boxes,2014-09-26,Self-Released,Electronic,,7.35482199603815
http://albumoftheyear.org/album/19343-thurston-moore-the-best-day.php,70,75,70,67,40,70,80,80,,75,71,70,,70,,60,65,60,,60,Thurston Moore,http://albumoftheyear.org/artist/870-thurston-moore/,The Best Day,2014-10-21,Matador,Alternative Rock,,9.77021713459547
http://albumoftheyear.org/album/14459-todd-terje-its-album-time.php,82,,60,83,80,,90,80,,80,87,50,83,,80,90,90,,,80,Todd Terje,http://albumoftheyear.org/artist/2220-todd-terje/,It's Album Time,2014-04-08,Olsen,Nu-Disco,,11.7936314843963
